"","Restaurant","User-Rating","No-Ratings","Address","City","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","DistanceCityCenter","DistanceCEU","margherita_pizza_price","beverage_price","Tags"
"54","Pizza e Pasta",4.5,72,"Klauzál Tér 6","Szeged","6, Klauzál tér, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6720, Magyarország",46.2520012,20.1477129,46.2546312,20.1486016,"0.30026516937788045 km","162.09743706028905 km","1490",NA,"PizzaOlaszKészpénzes fizetésSZÉP kártyás fizetés"
"55","Pizza EATaliano - Pest",4.3,41,"Vécsey u. 5","Budapest","Bortársaság - Kossuth tér, 5, Vécsey utca, Lipótváros, Budapest, Közép-Magyarország, 1054, Magyarország",47.505647,19.0488386,47.4983815,19.0404707,"1.024681373750218 km","0.5350397957440006 km","2300","350","OlaszPizzaKészpénzes fizetésSZÉP kártyás fizetés"
"56","Pizza Expressz Futárszolgálat",4.6,46,"Szabadság utca 26","Pécs","Szabadság út, Schlauch-villatelep, Siklósi városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.0677278,18.2251568,46.0763222,18.2280746,"0.9815978965780986 km","171.32314727576303 km","1250",NA,"PizzaKészpénzes fizetésSZÉP kártyás fizetés"
"57","Pizza Fabbrica",4.5,97,"Garay utca 30","Budapest","30, Garay utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1076, Magyarország",47.502362,19.0827824,47.4983815,19.0404707,"3.2184637560274996 km","2.463365468852549 km","1690",NA,"HamburgerMagyarosOlaszPizzaKészpénzes fizetés"
"58","Pizza Hungarica",3.7,25,"Duna utca 3","Budapest","Vinolia, 3, Duna utca, Belváros, Budapest, Közép-Magyarország, 1056, Magyarország",47.4917539,19.0534548,47.4983815,19.0404707,"1.2248064158084848 km","1.04877044723101 km","1590",NA,"ReggelizõhelyCukrászdaPizzaReggelizõhelyKészpénzes fizetés"
"59","Pizza King Belváros",3.9,1484,"István utca 26","Budapest","26, István utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1078, Magyarország",47.5054783,19.0828797,47.4983815,19.0404707,"3.291110347276609 km","2.5169789910043594 km","790",NA,"OlaszPizzaKészpénzes fizetésSZÉP kártyás fizetés"
"60","Pizza Király Szeged",4.7,34,"Fõ fasor 69/A","Szeged","Fõ fasor, Hársfa lakópark, Marostõi kiskertek, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6726, Magyarország",46.2376377,20.1927028,46.2546312,20.1486016,"3.8903944440874967 km","165.25436205084415 km","2030",NA,"MagyarosPizzaKészpénzes fizetésSZÉP kártyás fizetés"
"61","Pizza Love",4.8,128,"József Attila sugárút 128","Szeged","József Attila sugárút, Gedó, Tarján, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6723, Magyarország",46.275626,20.1653387,46.2546312,20.1486016,"2.6666609900988623 km","160.55137879895648 km","1500",NA,"OlaszPizzaKészpénzes fizetésSZÉP kártyás fizetés"
"62","Pizza Me Dohány utca",4.5,22,"Erzsébet körút 14","Budapest","14, Erzsébet körút, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1073, Magyarország",47.4989237,19.0696608,47.4983815,19.0404707,"2.200168505266083 km","1.4862152950735978 km","2290",NA,"OlaszPizzaNetPincér GOÉrintkezésmentes kiszállítás"
"63","Pizza Monkey Budapest",4.3,197,"Kármán utca 3","Budapest","3, Kármán utca, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1067, Magyarország",47.5091879,19.0590404,47.4983815,19.0404707,"1.844107613954235 km","1.1372653532778487 km","1880","390","MagyarosHamburgerSalátaVegánGrill"
"64","Pizza Piccante",4.5,7,"Csapó utca 95","Debrecen","Csapó utca, Burgundia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5369239,21.6375522,47.531399,21.6259782,"1.0661920553032118 km","194.9057187264463 km","1390","350","PizzaKészpénzes fizetésSZÉP kártyás fizetés"
"65","Pizza Tú Night",4.2,7,"Szondi utca 42","Budapest","42, Szondi utca, Izzó lakótelep, Megyer, IV. kerület, Budapest, Közép-Magyarország, 1044, Magyarország",47.58709645,19.0924237260482,47.4983815,19.0404707,"10.610598372892694 km","10.095969303231568 km","2399","599","MagyarosPizzaKészpénzes fizetés"
"66","Pizza Zone Pécs",4.1,23,"Szabadság utca 26","Pécs","Szabadság út, Schlauch-villatelep, Siklósi városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.0677278,18.2251568,46.0763222,18.2280746,"0.9815978965780986 km","171.32314727576303 km","1350",NA,"PizzaKészpénzes fizetésSZÉP kártyás fizetés"
"67","Pizzafaló Szeged",4.4,67,"Vedres utca 14","Szeged","Vedres Utcai Óvoda és bölcsõde, 14, Vedres utca, Odessza, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6726, Magyarország",46.245335,20.1565362535621,46.2546312,20.1486016,"1.2008984374195895 km","163.08198977622968 km","2070",NA,"CukrászdaHamburgerOlaszPizzaKészpénzes fizetés"
"68","Pizzamonster",4.7,546,"Sárosi utca 2","Szeged","Diófa Sörözõ, 2, Sárosi utca, Gedó, Északi városrész, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6724, Magyarország",46.2692854,20.1502093,46.2546312,20.1486016,"1.6336176515180132 km","160.54727386467178 km","1770",NA,"AmerikaiHamburgerOlaszPizzaKészpénzes fizetés"
"69","Póker Pizza Pécs",4.8,159,"Megyeri út 64","Pécs","Seal Ring, 64, Megyeri út, Solidus Lakópark, Északmegyer, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.0607752,18.2122743,46.0763222,18.2280746,"2.11675079634026 km","172.40611359548242 km","1320","350","OlaszPizzaKészpénzes fizetés"
"70","Ponte Pizza and Restaurant",4.7,1195,"Nefelejcs utca 14","Budapest","14, Nefelejcs utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1078, Magyarország",47.5024945,19.0821633,47.4983815,19.0404707,"3.1743531920318246 km","2.4178429093126304 km","1890","360","MagyarosOlaszPizzaAlgidaKészpénzes fizetés"
"71","Pop Art Café",4.7,157,"Bihari utca 2","Debrecen","Bihari utca, Bozzaytelep, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4030, Magyarország",47.5177664,21.6633209,47.531399,21.6259782,"3.1946643851415457 km","196.84988475156086 km","1150","350","PizzaHamburgerMagyarosKészpénzes fizetés"
